entity,year,births_attended_by_skilled_health_staff
Afghanistan,2000,12.39999962
Afghanistan,2003,14.30000019
Afghanistan,2006,18.89999962
Afghanistan,2008,24
Afghanistan,2010,34.29999924
Afghanistan,2011,38.59999847
Afghanistan,2012,39.90000153
Afghanistan,2014,45.20000076
Afghanistan,2015,50.5
Afghanistan,2017,53.40000153
Afghanistan,2018,58.79999924
Albania,1989,92.69999695
Albania,1990,93
Albania,1991,92.59999847
Albania,1992,86.40000153
Albania,1993,87.19999695
Albania,1994,89.09999847
Albania,1995,89.09999847
Albania,1996,91.19999695
Albania,1997,98.80000305
Albania,1998,99.09999847
Albania,1999,99
Albania,2000,99.09999847
Albania,2001,99
Albania,2002,98
Albania,2003,98.80000305
Albania,2004,99.30000305
Albania,2005,99.80000305
Albania,2006,99
Albania,2009,99.30000305
Albania,2018,99.80000305
Algeria,1992,76.5
Algeria,2000,92
Algeria,2002,95.90000153
Algeria,2006,95.19999695
Algeria,2013,96.59999847
American Samoa,2002,100
Andorra,2015,100
Andorra,2016,100
Andorra,2017,100
Angola,1996,22.5
Angola,2001,44.70000076
Angola,2007,47.29999924
Angola,2016,46.59999847
Antigua and Barbuda,1995,100
Antigua and Barbuda,1996,100
Antigua and Barbuda,1998,100
Antigua and Barbuda,2000,99.90000153
Antigua and Barbuda,2001,100
Antigua and Barbuda,2002,99
Antigua and Barbuda,2003,99
Antigua and Barbuda,2004,100
Antigua and Barbuda,2005,99.90000153
Antigua and Barbuda,2006,99.90000153
Antigua and Barbuda,2007,100
Antigua and Barbuda,2008,100
Antigua and Barbuda,2009,100
Antigua and Barbuda,2010,100
Antigua and Barbuda,2012,100
Antigua and Barbuda,2013,100
Antigua and Barbuda,2014,100
Antigua and Barbuda,2015,100
Antigua and Barbuda,2017,100
Argentina,1990,96.90000153
Argentina,1992,95.80000305
Argentina,1995,98.5
Argentina,1997,97.19999695
Argentina,1998,97.5
Argentina,1999,97.5
Argentina,2000,99.09999847
Argentina,2001,98.40000153
Argentina,2002,98.90000153
Argentina,2003,98.69999695
Argentina,2004,99.09999847
Argentina,2005,99.09999847
Argentina,2006,99.40000153
Argentina,2007,99.40000153
Argentina,2008,94.80000305
Argentina,2009,97.90000153
Argentina,2010,95
Argentina,2011,97.09999847
Argentina,2012,98.19999695
Argentina,2013,97
Argentina,2014,99.59999847
Argentina,2015,99.59999847
Argentina,2016,98.40000153
Argentina,2017,93.90000153
Armenia,1989,99.69999695
Armenia,1990,99.69999695
Armenia,1991,99.69999695
Armenia,1992,98.30000305
Armenia,1993,95.5
Armenia,1994,93.30000305
Armenia,1995,93.09999847
Armenia,1996,95.69999695
Armenia,1997,96.40000153
Armenia,1998,97.40000153
Armenia,1999,98.80000305
Armenia,2000,96.80000305
Armenia,2001,98.40000153
Armenia,2002,98.80000305
Armenia,2003,99.19999695
Armenia,2004,99.5
Armenia,2005,97.80000305
Armenia,2006,99.69999695
Armenia,2007,99.90000153
Armenia,2008,99.90000153
Armenia,2009,100
Armenia,2010,99.5
Armenia,2011,100
Armenia,2012,100
Armenia,2013,100
Armenia,2014,100
Armenia,2016,99.80000305
Aruba,2002,96
Australia,1991,99.59999847
Australia,1992,99.30000305
Australia,1993,99.30000305
Australia,1994,99.40000153
Australia,1995,99.30000305
Australia,1996,99.30000305
Australia,1997,99.30000305
Australia,1998,99.30000305
Australia,1999,99.30000305
Australia,2000,99.30000305
Australia,2001,99.30000305
Australia,2002,99.30000305
Australia,2003,99.30000305
Australia,2004,99.30000305
Australia,2005,99.40000153
Australia,2006,99.30000305
Australia,2007,99.19999695
Australia,2008,99.09999847
Australia,2009,99.09999847
Australia,2010,99.09999847
Australia,2011,99.09999847
Australia,2012,99.19999695
Australia,2013,99.30000305
Australia,2014,99.69999695
Australia,2015,99.69999695
Australia,2016,97
Australia,2017,96.69999695
Austria,1993,100
Austria,1996,98.19999695
Austria,1997,98.19999695
Austria,1998,98.30000305
Austria,1999,98.30000305
Austria,2000,98.30000305
Austria,2001,98.30000305
Austria,2002,98.40000153
Austria,2003,98.40000153
Austria,2004,98.40000153
Austria,2005,98.59999847
Austria,2006,98.59999847
Austria,2007,98.5
Austria,2008,98.59999847
Austria,2009,98.59999847
Austria,2010,98.5
Austria,2011,98.59999847
Austria,2012,98.5
Austria,2013,98.5
Austria,2014,98.5
Austria,2015,98.5
Austria,2016,98.40000153
Austria,2017,98.40000153
Austria,2018,98.40000153
Azerbaijan,1989,97.30000305
Azerbaijan,1990,97.30000305
Azerbaijan,1991,97.19999695
Azerbaijan,1992,96.5
Azerbaijan,1993,96.30000305
Azerbaijan,1994,99.59999847
Azerbaijan,1995,91.5
Azerbaijan,1996,87.90000153
Azerbaijan,1997,90.40000153
Azerbaijan,1998,91.5
Azerbaijan,1999,92.40000153
Azerbaijan,2000,80.69999695
Azerbaijan,2001,88
Azerbaijan,2002,94
Azerbaijan,2003,95.80000305
Azerbaijan,2004,95.90000153
Azerbaijan,2005,94.40000153
Azerbaijan,2006,88.59999847
Azerbaijan,2007,93
Azerbaijan,2008,98
Azerbaijan,2009,99.80000305
