Aruba,12230,26560
Afghanistan,null,600
Angola,780,4520
Albania,650,4390
Andorra,null,null
United Arab Emirates,null,42860
Argentina,3190,12570
Armenia,null,4010
American Samoa,null,null
Antigua and Barbuda,6820,12850
Australia,17300,60500
Austria,1500,47480
Azerbaijan,null,6570
Burundi,220,260
Belgium,480,45570
Benin,370,1180
Burkina Faso,330,700
Bangladesh,320,1220
Bulgaria,2250,7450
Bahrain,9070,22580
"Bahamas, The",11870,28400
Bosnia and Herzegovina,null,5210
Belarus,null,6710
Belize,2260,4400
Bermuda,null,101120
Bolivia,720,2960
Brazil,2730,10190
Barbados,7600,15740
Brunei Darussalam,12460,38850
Bhutan,560,2520
Botswana,2720,6840
Central African Republic,480,400
Canada,null,47590
Switzerland,null,88750
Channel Islands,null,null
Chile,2350,14130
China,330,7940
Cote d'Ivoire,780,1660
Cameroon,970,1440
"Congo, Dem. Rep.",null,460
"Congo, Rep.",930,3090
Colombia,1330,7330
Comoros,980,1380
Cabo Verde,900,3210
Costa Rica,1750,10700
Cuba,2650,7230
Curacao,null,19620
Cayman Islands,null,44380
Cyprus,9300,25980
Czech Republic,null,18370
Germany,10890,45780
Djibouti,null,2730
Dominica,2810,6910
Denmark,24370,60510
Dominican Republic,870,6580
Algeria,2370,4850
Ecuador,1370,5970
"Egypt, Arab Rep.",760,3340
Eritrea,null,null
Spain,70,28450
Estonia,null,18700
Ethiopia,260,600
Finland,4370,47180
Fiji,1790,5100
France,3150,41130
Faeroe Islands,null,null
"Micronesia, Fed. Sts.",null,3490
Gabon,4820,7970
United Kingdom,18530,44340
Georgia,null,4410
Ghana,400,1950
Gibraltar,null,null
Guinea,410,760
"Gambia, The",310,620
Guinea-Bissau,220,640
Equatorial Guinea,260,10850
Greece,null,20150
Grenada,2840,7750
Greenland,15690,null
Guatemala,930,3700
Guam,null,null
Guyana,400,5470
"Hong Kong SAR, China",12660,41180
Honduras,1110,2060
Croatia,null,12970
Haiti,420,1390
Hungary,null,13250
Indonesia,560,3430
Isle of Man,null,83990
India,380,1600
Ireland,15950,50430
"Iran, Islamic Rep.",2540,5370
Iraq,7070,5800
Iceland,null,49940
Israel,null,36060
Italy,10,33000
Jamaica,1770,4700
Jordan,1270,3950
Japan,27820,38840
Kazakhstan,null,11380
Kenya,370,1290
Kyrgyz Republic,null,1180
Cambodia,null,1060
Kiribati,720,3470
St. Kitts and Nevis,5220,16410
"Korea, Rep.",6450,28720
Kuwait,null,41820
Lao PDR,190,1970
Lebanon,1310,7280
Liberia,null,630
Libya,null,5690
St. Lucia,3730,8740
Liechtenstein,45470,null
Sri Lanka,460,3760
Lesotho,550,1310
Lithuania,null,5960
Luxembourg,780,72520
Latvia,null,16690
"Macao SAR, China",8980,62090
St. Martin (French part),null,null
Morocco,1160,3020
Monaco,null,null
Moldova,null,3300
Madagascar,310,490
Maldives,null,7650
Mexico,2790,10160
Marshall Islands,null,4250
North Macedonia,null,5110
Mali,290,800
Malta,7600,25230
Myanmar,null,1160
Montenegro,null,7260
Mongolia,1430,3820
Northern Mariana Islands,null,null
Mozambique,null,640
Mauritania,730,1640
Mauritius,2430,10700
Malawi,180,350
Malaysia,2400,10680
Namibia,1990,5310
New Caledonia,14760,null
Niger,340,560
Nigeria,560,2820
Nicaragua,310,1890
Netherlands,null,49850
Norway,26500,92910
Nepal,210,890
Nauru,null,13690
New Zealand,13640,39850
Oman,5710,17450
Pakistan,400,1260
Panama,2660,12200
Peru,840,6340
Philippines,720,3380
Palau,null,15860
Papua New Guinea,740,2860
Poland,null,13310
Puerto Rico,5950,19420
"Korea, Dem. Rep.",null,null
Portugal,40,20460
Paraguay,null,5640
West Bank and Gaza,null,3670
French Polynesia,15270,null
Qatar,null,73440
Romania,null,9600
Russian Federation,null,11780
Rwanda,350,750
Saudi Arabia,7390,23710
Sudan,530,1540
Senegal,920,1320
Singapore,11450,53160
Solomon Islands,630,2130
Sierra Leone,190,550
El Salvador,900,3440
San Marino,null,null
Somalia,130,290
Serbia,null,5960
South Sudan,null,1090
Sao Tome and Principe,null,1650
Suriname,1420,8890
Slovak Republic,null,17680
Slovenia,null,22270
Sweden,27760,58420
Eswatini,1290,3800
Sint Maarten (Dutch part),null,29560
Seychelles,5030,14020
Syrian Arab Republic,910,null
Turks and Caicos Islands,null,25530
Chad,270,880
Togo,400,640
Thailand,1490,5710
Tajikistan,null,1260
Turkmenistan,null,7030
Timor-Leste,null,2200
Tonga,1220,4440
Trinidad and Tobago,3710,18910
Tunisia,1410,3960
Turkey,2310,12030
Tuvalu,null,5440
Tanzania,200,980
Uganda,320,830
Ukraine,1610,2650
Uruguay,2840,15620
United States,24060,56740
Uzbekistan,null,2600
St. Vincent and the Grenadines,2150,6560
"Venezuela, RB",2670,null
British Virgin Islands,null,null
Virgin Islands (U.S.),null,null
Vietnam,130,1970
Vanuatu,1240,2780
Samoa,570,3960
Kosovo,null,4010
"Yemen, Rep.",null,1200
South Africa,2860,6050
Zambia,430,1580
Zimbabwe,860,1280
